Name,Identity,Type,Sex,Eye Color,Hair Color,Appearances,First Appearance,Studio
Fiz,Earth-616,Good,Male,Green,Black,16,1999,Marvel
James Howlett,"Skrull,Earth-616",Bad,Male,Green,No,16,1999,Marvel
Vargas,Earth-616,Bad,Male,Brown,Black,16,1901,Marvel
Woodstock Schumaker,Earth-616,Good,Female,Blue,Blond,16,1901,Marvel
Azazel,Earth-616,Bad,Male,Red,Grey,16,1903,Marvel
Absolon Mercator,Earth-616,Good,Male,Blue,No,16,1904,Marvel
Anti-Cap,Earth-616,Bad,Male,Blue,Black,16,1904,Marvel
Maxwell Jordan,Earth-616,Good,Male,Brown,Brown,16,1904,Marvel
Wicked,Earth-616,Good,Female,Brown,Black,16,1904,Marvel
Itsu,Earth-616,Neutral,Female,Brown,Black,16,1906,Marvel
Jacob Oh,Earth-616,Good,Male,Brown,Black,16,1906,Marvel
Kate Kildare,Earth-616,Good,Female,Grey,Blond,16,1907,Marvel
Ol-Sahm,Earth-616,Good,Male,Brown,No,16,1908,Marvel
Anton Vanko,"Whiplash,Earth-616",Bad,Male,Brown,Black,16,1910,Marvel
Br\u00fcn,Earth-616,Bad,Female,White,White,16,1910,Marvel
Doug Johnson III,Earth-616,Neutral,Male,Blue,Blond,16,1910,Marvel
Ms. Lion,Earth-616,Good,Male,Black,White,16,1910,Marvel
Corvus Glaive,Earth-616,Bad,Male,Black,No,16,1913,Marvel
Tyrannix the Abominoid,"Legion Personality,Earth-616",Neutral,Male,Red,No,16,1913,Marvel
Jim Gardley,Earth-616,Good,Male,Blue,Black,15,1939,Marvel
Victor Jay,Earth-616,Good,Male,Brown,Brown,15,1940,Marvel
Howard Mitchell,Earth-616,Bad,Male,Brown,Grey,15,1963,Marvel
Naga,Earth-616,Bad,Male,Green,No,15,1969,Marvel
Tanya Anderssen,Earth-616,Good,Female,Blue,Blond,15,1969,Marvel
Joshua Link,Earth-616,Bad,Male,Blue,White,15,1970,Marvel
Thog,Earth-616,Bad,Male,Yellow,Bald,15,1972,Marvel
Drake Shannon,Earth-616,Bad,Male,Blue,White,15,1973,Marvel
Thomas Stuart,Earth-616,Bad,Male,Brown,Blond,15,1973,Marvel
Desmond Pitt,Earth-616,Neutral,Male,Brown,Bald,15,1974,Marvel
Manphibian,Earth-616,Neutral,Male,Red,Bald,15,1975,Marvel
Harrison Thompson,Earth-616,Neutral,Male,Blue,Blond,15,1976,Marvel
Charles Delazny Jr.,Earth-616,Neutral,Male,Brown,Brown,15,1977,Marvel
Robert Bruce Banner,"Eternals Robot,Earth-616",Bad,Male,Red,Black,15,1977,Marvel
Carina Walters,Earth-616,Good,Female,Blue,Blond,15,1978,Marvel
Don Thomas,Earth-616,Neutral,Male,Blue,Red,15,1978,Marvel
Yi Yang,Earth-616,Bad,Female,Green,Black,15,1979,Marvel
Arthur Dearborn,Earth-616,Neutral,Male,Blue,Brown,15,1981,Marvel
Craig Sinclair,Earth-616,Bad,Male,Brown,Brown,15,1982,Marvel
Tick Tock,Earth-616,Bad,Male,Brown,Bald,15,1983,Marvel
AC-DC,Earth-616,Neutral,Male,Red,Bald,15,1985,Marvel
Beautiful Dreamer,"Morlock,Earth-616",Neutral,Female,Grey,Black,15,1985,Marvel
Interloper,Earth-616,Good,Male,Blue,Brown,15,1985,Marvel
Bird-Brain,Earth-616,Good,Male,Red,No,15,1987,Marvel
Heidi Franklin,Earth-616,Neutral,Female,Blue,Black,15,1990,Marvel
Nathan Lemon,Earth-616,Bad,Male,Brown,Brown,15,1990,Marvel
Laura Dunham,Earth-616,Good,Female,Blue,Blond,15,1992,Marvel
Mortigan Goth,Earth-616,Good,Male,Blue,Blond,15,1993,Marvel
Torbert Octavius,Earth-616,Bad,Male,Brown,Brown,15,1993,Marvel
Blackwulf,"Lucian,Earth-616",Neutral,Male,Red,White,15,1994,Marvel
Loga,"Godpack,Earth-616",Good,Male,Yellow,Red,15,1994,Marvel
Elaine Coll,Earth-616,Bad,Female,Green,Red,15,1995,Marvel
Heidi Sladkin,Earth-616,Good,Female,Red,No,15,1995,Marvel
Simon Trask,Earth-616,Bad,Male,Blue,Blond,15,1995,Marvel
Gloria Mu\u00f1oz,Earth-616,Good,Female,Brown,Black,15,1996,Marvel
Deuce,Earth-616,Good,Male,Blue,Brown,15,1997,Marvel
Strider,Earth-616,Good,Male,Black,White,15,1997,Marvel
Aiko Miyazaki,Earth-616,Good,Female,Blue,Blond,15,1998,Marvel
Angela Lipscombe,Earth-616,Neutral,Female,Blue,Blond,15,1900,Marvel
Nina Smith,Earth-616,Good,Female,Brown,Brown,15,1904,Marvel
Sarah Stacy,Earth-616,Good,Female,Blue,Blond,15,1904,Marvel
Tatiana Caban,Earth-616,Neutral,Female,Brown,Brown,15,1904,Marvel
Ethan Edwards,Earth-616,Good,Male,Blue,Blond,15,1905,Marvel
Captain,"Nextwave,Earth-616",Good,Male,Brown,Black,15,1906,Marvel
Consultant,Earth-616,Bad,Male,Black,No,15,1906,Marvel
Bev Sykes,Earth-616,Good,Female,Brown,Brown,15,1907,Marvel
Michael van Patrick,Earth-616,Good,Male,Blue,Brown,15,1907,Marvel
Orson Randall,Earth-616,Good,Male,Grey,Brown,15,1907,Marvel
Pagon,Earth-616,Bad,Male,Green,Black,15,1907,Marvel
Sadie Sinclair,Earth-616,Good,Female,Blue,Black,15,1908,Marvel
Vengeance,"Kowalski,Earth-616",Bad,Male,Brown,Brown,15,1908,Marvel
Betty Swanson,Earth-616,Bad,Female,Blue,Blond,15,1909,Marvel
Christopher Colchiss,Earth-616,Bad,Male,Blue,Brown,15,1909,Marvel
Lisa Molinari,Earth-616,Neutral,Female,Brown,Brown,15,1909,Marvel
Sylvie Lushton,Earth-616,Bad,Female,Brown,Blond,15,1909,Marvel
Onomi Whitemane,Earth-616,Neutral,Female,Red,White,15,1910,Marvel
Wilhelmina Kensington,Earth-616,Bad,Female,Blue,Blond,15,1911,Marvel
Annabelle Adams,Earth-616,Good,Female,Green,Red,15,1912,Marvel
Donald Meland,Earth-616,Good,Male,Hazel,Reddish Blond,15,1912,Marvel
Katherine Kiernan,Earth-616,Good,Female,Brown,Blond,15,1912,Marvel
Eva Alexander,Earth-616,Good,Female,Brown,Black,15,1913,Marvel
Randall Jessup,Earth-616,Neutral,Male,Brown,Blond,15,1913,Marvel
Gorgilla,Earth-616,Neutral,Male,Brown,Brown,14,1960,Marvel
Jonathan Juniper,Earth-616,Good,Male,Blue,Blond,14,1963,Marvel
Kurt Marko,Earth-616,Neutral,Male,Black,Black,14,1965,Marvel
Jack Winters,Earth-616,Bad,Male,Brown,Brown,14,1967,Marvel
Zom,Earth-616,Bad,Male,Yellow,Brown,14,1967,Marvel
Lawrence Trask,Earth-616,Neutral,Male,Brown,Brown,14,1969,Marvel
Cephalus,Earth-616,Bad,Male,Black,Brown,14,1970,Marvel
Doomsday Man,Earth-616,Bad,Male,Yellow,No,14,1970,Marvel
Meredith McCall,Earth-616,Good,Female,Blue,Brown,14,1970,Marvel
Psyklop,Earth-616,Neutral,Male,Red,No,14,1971,Marvel
Albert Rackham,Earth-616,Bad,Male,Brown,Black,14,1972,Marvel
Mercurio,Earth-616,Bad,Male,White,No,14,1972,Marvel
Harlan Krueger,Earth-616,Bad,Male,Blue,Bald,14,1973,Marvel
Imus Champion,Earth-616,Bad,Male,Blue,Black,14,1973,Marvel
Marie Laveau,Earth-616,Bad,Female,Blue,Black,14,1973,Marvel
Arnold Astrovik,Earth-616,Neutral,Male,Hazel,Brown,14,1975,Marvel
Christopher Thorn,Earth-616,Bad,Male,Blue,White,14,1976,Marvel
Bram Velsing,Earth-616,Neutral,Male,Blue,Blond,14,1977,Marvel
Magique,Earth-616,Neutral,Female,Purple,White,14,1977,Marvel
Nicholas Scratch,Earth-616,Good,Male,Blue,Black,14,1977,Marvel
Tracy Burke,Earth-616,Neutral,Female,Hazel,Grey,14,1977,Marvel
Harris Moore,Earth-616,Good,Male,Blue,Grey,14,1978,Marvel
Miles Warren,"Clone,Earth-616",Bad,Male,Yellow,No,14,1978,Marvel
Frederick Sloan,Earth-616,Good,Male,Blue,Blond,14,1979,Marvel
Niamh Chinn Oir,Earth-616,Good,Female,Blue,Blond,14,1979,Marvel
Fahnbullah Eddy,Earth-616,Good,Female,Brown,Black,14,1980,Marvel
Theresa Pryde,Earth-616,Good,Female,Brown,Brown,14,1980,Marvel
Roger Hochberg,Earth-616,Good,Male,Brown,Brown,14,1981,Marvel
Sarah Rogers,Earth-616,Good,Female,Blue,Blond,14,1981,Marvel
Scarlet Fasinera,Earth-616,Bad,Female,Blue,Red,14,1981,Marvel
Oliver Osnick,Earth-616,Good,Male,Blue,Brown,14,1982,Marvel
Alec Thorne,Earth-616,Bad,Male,Brown,Brown,14,1983,Marvel
Wraarl,Earth-616,Bad,Male,Red,No,14,1983,Marvel
Vidar Odinson,Earth-616,Good,Male,Blue,Blond,14,1984,Marvel
Evan Swann,Earth-616,Good,Male,Brown,Brown,14,1988,Marvel
Number Nine,Earth-616,Good,Female,Blue,Blond,14,1989,Marvel
John Kelly,Earth-616,Good,Male,Red,Blond,14,1990,Marvel
Kearson DeWitt,Earth-616,Bad,Male,Brown,Black,14,1990,Marvel
Nobilus,Earth-616,Neutral,Male,Blue,Black,14,1990,Marvel
Che,Earth-616,Good,Male,White,White,14,1992,Marvel
Eileen Harsaw,Earth-616,Bad,Female,Blue,Blond,14,1992,Marvel
James Lucas,Earth-616,Neutral,Male,Brown,Black,14,1992,Marvel
Lucia Callasantos,Earth-616,Neutral,Female,Yellow,Red,14,1992,Marvel
Lynx,Earth-616,Good,Female,Brown,Brown,14,1993,Marvel
Sister Nil,Earth-616,Bad,Female,Black,Black,14,1993,Marvel
Tyrant,Earth-616,Bad,Male,Red,No,14,1993,Marvel
Cody Fleischer,Earth-616,Good,Male,Brown,Brown,14,1994,Marvel
Philip Sheldon,Earth-616,Good,Male,Green,Grey,14,1994,Marvel
Elizabeth Tyne,Earth-616,Good,Female,Blue,Red,14,1995,Marvel
Rafael Carago,Earth-616,Good,Male,White,Black,14,1995,Marvel
Vessel,Earth-616,Bad,Male,Red,Black,14,1995,Marvel
Amanda Fairmont,Earth-616,Good,Female,Brown,Brown,14,1998,Marvel
Gaia,Earth-616,Good,Female,Blue,Pink,14,1998,Marvel
Leiko Tanaka,Earth-616,Good,Female,Brown,Black,14,1998,Marvel
Ness,Earth-616,Neutral,Male,Yellow,White,14,1998,Marvel
Gloria Dayne,Earth-616,Neutral,Female,Blue,Blond,14,1999,Marvel
Manuel Vicente,Earth-616,Neutral,Male,Brown,Brown,14,1999,Marvel
Gordon Thomas,Earth-616,Good,Male,Blue,Brown,14,1900,Marvel
Ellie Phimister,Earth-616,Neutral,Female,Black,Black,14,1901,Marvel
William Lamont,Earth-616,Good,Male,Blue,White,14,1902,Marvel
Alex Anderson,Earth-616,Good,Male,Brown,Black,14,1903,Marvel
Faith Shabazz,Earth-616,Good,Female,Brown,Grey,14,1903,Marvel
Gennady Gavrilov,Earth-616,Bad,Male,Brown,Brown,14,1903,Marvel
Jessie,"Sentinel,Earth-616",Good,Female,Blue,Brown,14,1903,Marvel
John Anderson,Earth-616,Good,Male,Brown,Blond,14,1903,Marvel
Amelia Weatherly,Earth-616,Good,Female,Green,Strawberry Blond,14,1904,Marvel
Holden Holliway,Earth-616,Good,Male,Blue,Grey,14,1904,Marvel
Rutherford Princeton III,Earth-616,Good,Male,Brown,White,14,1904,Marvel
Sal Kennedy,Earth-616,Good,Male,Blue,White,14,1905,Marvel
Zachary Smith Jr.,Earth-616,Good,Male,Hazel,Black,14,1905,Marvel
Max Lohmer,Earth-616,Bad,Male,Blue,Blond,14,1906,Marvel
Michael van Patrick,"Michael,Earth-616",Good,Male,Blue,Brown,14,1907,Marvel
Joaquin Pennysworth,Earth-616,Good,Male,Brown,Black,14,1908,Marvel
Kyknos,Earth-616,Bad,Male,Yellow,No,14,1908,Marvel
William Hollister,Earth-616,Good,Male,Brown,Black,14,1908,Marvel
Daniel DuBois,Earth-616,Bad,Male,Brown,Brown,14,1909,Marvel
James Natale,Earth-616,Bad,Male,Yellow,Brown,14,1909,Marvel
Oola Udonta,Earth-616,Neutral,Female,Blue,No,14,1910,Marvel
Raizo Kodo,Earth-616,Good,Male,Red,Black,14,1911,Marvel
Nara,Earth-616,Good,Female,White,Black,14,1913,Marvel
Necromancer,"Michael,Earth-616",Neutral,Male,Blue,Brown,14,1913,Marvel
Patricia Wolman,Earth-616,Neutral,Female,Blue,Blond,14,1913,Marvel
Larry Scott,Earth-616,Good,Male,Brown,Reddish Blond,13,1941,Marvel
Witness,"WWII,Earth-616",Good,Male,Brown,Brown,13,1941,Marvel
Elizabeth II,Earth-616,Good,Female,Blue,Grey,13,1943,Marvel
Helen,Earth-616,Good,Female,Blue,Blond,13,1948,Marvel
Santa Claus,Earth-616,Good,Male,Blue,White,13,1955,Marvel
Yuri Topolov,Earth-616,Neutral,Male,Blue,Bald,13,1962,Marvel
Anton Vanko,"Crimson Dynamo,Earth-616",Good,Male,Brown,Bald,13,1963,Marvel
Don Hertz,Earth-616,Bad,Male,Blue,Black,13,1963,Marvel
Nathan Dolly,Earth-616,Bad,Male,Brown,Brown,13,1963,Marvel
Anelle,Earth-616,Good,Female,Green,Green,13,1965,Marvel
Clay Riley,Earth-616,Bad,Male,Grey,Brown,13,1967,Marvel
Daniel Damian,Earth-616,Good,Male,Blue,Grey,13,1967,Marvel
Joseph Stalin,Earth-616,Bad,Male,Brown,Grey,13,1968,Marvel
Joost van Straaten,Earth-616,Bad,Male,White,Black,13,1969,Marvel
Mordecai Midas,Earth-616,Bad,Male,Gold,Gold,13,1969,Marvel
Barbara Denton,Earth-616,Good,Female,Blue,Blond,13,1970,Marvel
Frank Oliver,Earth-616,Bad,Male,Brown,Blond,13,1970,Marvel
Jason Roland,Earth-616,Bad,Male,Brown,Brown,13,1970,Marvel
Brian Muldoon,Earth-616,Bad,Male,Blue,Brown,13,1971,Marvel
Ramrod,"Cyborg,Earth-616",Bad,Male,Blue,Brown,13,1973,Marvel
Fera,Earth-616,Bad,Female,Brown,Grey,13,1974,Marvel
Brynocki,Earth-616,Bad,Male,Black,Black,13,1975,Marvel
Mitchell Tanner,Earth-616,Bad,Male,Blue,Black,13,1975,Marvel
Trocero,Earth-616,Good,Male,Brown,Black,13,1975,Marvel
Victoria von Frankenstein,Earth-616,Good,Female,Grey,Black,13,1975,Marvel
Frank Moore,Earth-616,Good,Male,Blue,Black,13,1977,Marvel
Ned Lathrop,Earth-616,Bad,Male,Blue,Brown,13,1977,Marvel
Waldo,"Computer,Earth-616",Good,Male,Red,No,13,1977,Marvel
Antoine Delsoin,Earth-616,Bad,Male,Brown,Black,13,1978,Marvel
David Mitchell,Earth-616,Good,Male,Brown,Black,13,1978,Marvel
Artemus Pithins,Earth-616,Neutral,Male,Brown,Brown,13,1979,Marvel
Randall Spector,Earth-616,Bad,Male,Brown,Brown,13,1979,Marvel
Yvette Avril,Earth-616,Good,Female,Brown,Brown,13,1979,Marvel
Gronk,Earth-616,Bad,Male,Yellow,No,13,1981,Marvel
Phobius,Earth-616,Bad,Male,Green,Black,13,1981,Marvel
Carson Knowles,Earth-616,Bad,Male,Brown,Blond,13,1982,Marvel
Mistress Love,Earth-616,Neutral,Female,Variable,Variable,13,1982,Marvel
Shingen Harada,Earth-616,Bad,Male,Brown,Bald,13,1982,Marvel
Khoryphos,Earth-616,Good,Male,Blue,Brown,13,1985,Marvel
Edward Pasternak,Earth-616,Bad,Male,Blue,Blond,13,1986,Marvel
James Madrox,"Fallen Angels,Earth-616",Bad,Male,Green,Brown,13,1987,Marvel
Cairbre,Earth-616,Good,Male,Blue,Black,13,1988,Marvel
Erica Fortune,Earth-616,Bad,Female,Blue,Blond,13,1988,Marvel
Gayle Rogers,Earth-616,Good,Female,Blue,Blond,13,1988,Marvel
Jack Taggert,Earth-616,Bad,Male,Brown,Black,13,1988,Marvel
Jonathan Caesar,Earth-616,Bad,Male,Blue,Blond,13,1988,Marvel
Sapphire Styx,Earth-616,Bad,Female,Grey,Red,13,1988,Marvel
Winston Manchester,Earth-616,Good,Male,Brown,Brown,13,1988,Marvel
Eugene Strausser,Earth-616,Good,Male,Brown,Brown,13,1989,Marvel
James Sharp,Earth-616,Bad,Male,White,No,13,1990,Marvel
Linda Wei,Earth-616,Bad,Female,Brown,Black,13,1990,Marvel
Seraph,Earth-616,Good,Female,Blue,White,13,1990,Marvel
Christopher Daniels,Earth-616,Neutral,Male,Brown,Black,13,1991,Marvel
Gloria Angel,Earth-616,Good,Female,Blue,Grey,13,1991,Marvel
Min Li Ng,Earth-616,Bad,Female,Brown,Black,13,1991,Marvel
Nox,"Nyx,Earth-616",Bad,Female,Black,Black,13,1991,Marvel
Conrad Mack,Earth-616,Bad,Male,Red,No,13,1992,Marvel
Milos Abyss,Earth-616,Bad,Male,White,No,13,1993,Marvel
Obax Majid,Earth-616,Neutral,Female,Brown,Black,13,1993,Marvel
Amanda Chaney,Earth-616,Good,Female,Blue,Blond,13,1994,Marvel
Fisher Todd,Earth-616,Good,Male,Blue,Brown,13,1994,Marvel
Spyne,Earth-616,Bad,Male,White,Bald,13,1994,Marvel
Vincent Stevens,Earth-616,Neutral,Male,Blue,Black,13,1994,Marvel
Dirtnap,Earth-616,Bad,Male,Brown,Bald,13,1995,Marvel
Kimberly Dee,Earth-616,Good,Female,Blue,Blond,13,1995,Marvel
Moonstomp,Earth-616,Good,Male,Green,Blond,13,1995,Marvel
Benjamin Grimm,"Heroes Reborn,Earth-616",Good,Male,Blue,No,13,1996,Marvel
Jonathan Storm,"Heroes Reborn,Earth-616",Good,Male,Blue,Blond,13,1996,Marvel
Susan Storm,"Heroes Reborn,Earth-616",Good,Female,Blue,Blond,13,1996,Marvel
William Allen,Earth-616,Bad,Male,Yellow,No,13,1997,Marvel
Charlotte Witter,Earth-616,Bad,Female,Green,Blond,13,1999,Marvel
Glenda Sandoval,Earth-616,Good,Female,Brown,Black,13,1999,Marvel
Christine Cord,Earth-616,Good,Female,Brown,Black,13,1902,Marvel
John Lopez,Earth-616,Neutral,Male,Brown,Black,13,1902,Marvel
Francis Leighton,Earth-616,Bad,Male,Blue,Blond,13,1903,Marvel
Gabe Acheron,Earth-616,Good,Male,Blue,Blond,13,1903,Marvel
Neil Garrett,Earth-616,Good,Male,Brown,Brown,13,1903,Marvel
Freakshow,"Genoshan,Earth-616",Good,Male,Blue,Blond,13,1904,Marvel
Hub,Earth-616,Good,Female,Brown,Black,13,1904,Marvel
James Murch,Earth-616,Good,Male,Brown,Brown,13,1905,Marvel
Jon Kasiya,Earth-616,Bad,Male,Blue,Black,13,1905,Marvel
John Lennon,"Skrull,Earth-616",Good,Male,Variable,Variable,13,1907,Marvel
Rebecca Ryan,Earth-616,Good,Female,Blue,Blond,13,1907,Marvel
Red Guardian,"Anton,Earth-616",Neutral,Male,Blue,Blond,13,1908,Marvel
Jat Vor-Thrul,Earth-616,Good,Male,Blue,Bald,13,1909,Marvel
Sovel Redhand,Earth-616,Bad,Male,Brown,Black,13,1909,Marvel
Bruce Babbage,Earth-616,Bad,Male,Brown,Grey,13,1910,Marvel
Hit-Monkey,Earth-616,Neutral,Male,Amber,Grey,13,1910,Marvel
K\u00e1ra,Earth-616,Good,Female,Green,Blond,13,1910,Marvel
Unit,Earth-616,Bad,Male,Blue,No,13,1910,Marvel
Viktor Uvarov,Earth-616,Bad,Male,Blue,Brown,13,1910,Marvel
Ichisumi,Earth-616,Bad,Female,Black,Black,13,1911,Marvel
Ikon,Earth-616,Good,Female,Green,Auburn,13,1911,Marvel
Loki Laufeyson,"Kid Loki,Earth-616",Good,Male,Green,Black,13,1911,Marvel
Johann Shmidt,"Clone,Earth-616",Bad,Male,Blue,Brown,13,1912,Marvel
Daman Veteri,Earth-616,Neutral,Male,Black,Black,13,1913,Marvel
Ian Zola,Earth-616,Good,Male,Brown,Brown,13,1913,Marvel
Karasu-Tengu,Earth-616,Neutral,Female,Black,Black,13,1913,Marvel
Jeff Jordan,Earth-616,Good,Male,Blue,Auburn,12,1943,Marvel
Jack the Ripper,Earth-616,Bad,Male,Brown,Brown,12,1945,Marvel
Giganto,"Deviant Mutate,Earth-616",Bad,Male,Red,No,12,1961,Marvel
Kala,Earth-616,Bad,Female,Blue,Black,12,1963,Marvel
Manuel Eloganto,Earth-616,Neutral,Male,Black,Black,12,1964,Marvel
Aged Genghis,Earth-616,Neutral,Male,Brown,Bald,12,1965,Marvel
Prince Rey,Earth-616,Bad,Male,Blue,Blond,12,1966,Marvel
Orlando Furio,Earth-616,Good,Male,Blue,Black,12,1968,Marvel
Gideon Mace,Earth-616,Bad,Male,Blue,Grey,12,1972,Marvel
Willis Stryker,Earth-616,Bad,Male,Brown,Black,12,1972,Marvel
Lucas Brand,Earth-616,Bad,Male,Red,Brown,12,1973,Marvel
Glitternight,Earth-616,Bad,Male,White,No,12,1975,Marvel
Straw Man,Earth-616,Good,Male,Red,Yellow,12,1975,Marvel
David Munroe,Earth-616,Good,Male,Brown,Black,12,1976,Marvel
James Larner,Earth-616,Good,Male,Brown,Brown,12,1976,Marvel
Burt Kenyon,Earth-616,Bad,Male,Brown,Auburn,12,1977,Marvel
Fang,"Imperial Guard,Earth-616",Neutral,Male,Brown,Brown,12,1977,Marvel
John McIver,Earth-616,Bad,Male,Brown,Black,12,1977,Marvel
Sagittarius,"LMD,Earth-616",Bad,Male,White,White,12,1977,Marvel
Gwendolyne Sabuki,Earth-616,Good,Female,Brown,Black,12,1978,Marvel
Eric Slaughter,"Crime Boss,Earth-616",Bad,Male,Blue,Grey,12,1979,Marvel
Ling McPherson,Earth-616,Neutral,Female,Brown,Black,12,1979,Marvel
Edwin Cord,Earth-616,Neutral,Male,Brown,Grey,12,1980,Marvel
Gregor Buhkarov,Earth-616,Good,Male,Brown,Brown,12,1980,Marvel
Jawaharal Patel,Earth-616,Good,Male,Brown,Black,12,1980,Marvel
Joseph Pincus,Earth-616,Good,Male,Grey,Black,12,1980,Marvel
Kiana,Earth-616,Neutral,Female,Brown,Black,12,1980,Marvel
Bella Blaire,Earth-616,Neutral,Female,Blue,Grey,12,1981,Marvel
Helio,Earth-616,Bad,Male,Brown,Brown,12,1981,Marvel
Ruriko Tsumura,Earth-616,Bad,Female,Red,Pink,12,1982,Marvel
Crystar,Earth-616,Good,Male,Blue,Blue,12,1983,Marvel
Cody Robbins,Earth-616,Neutral,Male,Blue,Blond,12,1984,Marvel
Jebediah Guthrie,Earth-616,Good,Male,Brown,Brown,12,1984,Marvel
Tarianna,Earth-616,Good,Female,Green,Red,12,1984,Marvel
Lionel Jeffries,Earth-616,Bad,Male,Blue,Brown,12,1986,Marvel
Chance,"Fallen Angels,Earth-616",Good,Female,Black,Black,12,1987,Marvel
Carlos Lobo,Earth-616,Bad,Male,Blue,Brown,12,1988,Marvel
Davis Lawfers,Earth-616,Bad,Male,Brown,Brown,12,1988,Marvel
Kyle Brock,Earth-616,Good,Male,Brown,Brown,12,1988,Marvel
Barbara Ketch,Earth-616,Good,Female,Green,Red,12,1990,Marvel
Animus,"Hate-Monger,Earth-616",Bad,Male,Red,Brown,12,1991,Marvel
Dmitri Petrovich,Earth-616,Bad,Male,Blue,Bald,12,1992,Marvel
Jackie Shorr,Earth-616,Bad,Female,Green,Blond,12,1992,Marvel
Nigel Higgins,Earth-616,Good,Male,Brown,Black,12,1992,Marvel
Blodwen Reese,Earth-616,Good,Female,Blue,Red,12,1993,Marvel
Ganymede,"Spinsterhood,Earth-616",Good,Female,Yellow,Black,12,1993,Marvel
Hiro Sokuto,Earth-616,Good,Male,Brown,Black,12,1993,Marvel
Joseph Hauer,Earth-616,Good,Male,Brown,Black,12,1993,Marvel
Raani Jatwinder,Earth-616,Good,Female,Black,Purple,12,1993,Marvel
Rob Fortune,Earth-616,Good,Male,Blue,Brown,12,1995,Marvel
Daniel Kingsley,Earth-616,Bad,Male,Blue,Grey,12,1997,Marvel
Zuri,Earth-616,Good,Male,Brown,Black,12,1998,Marvel
Clinton McIntyre,Earth-616,Bad,Male,Brown,Brown,12,1900,Marvel
Robert Paine,Earth-616,Good,Male,Black,Black,12,1900,Marvel
Russian,Earth-616,Bad,Male,Blue,Reddish Blond,12,1900,Marvel
Spacker Dave,Earth-616,Good,Male,Blue,Red,12,1900,Marvel
Velmax,Earth-616,Good,Male,Blue,Blond,12,1900,Marvel
Caryn Earle,Earth-616,Good,Female,Blue,Blond,12,1901,Marvel
Desak Sterixian,Earth-616,Bad,Male,Orange,Reddish Blond,12,1901,Marvel
Sonny Baredo,Earth-616,Neutral,Male,Green,Grey,12,1901,Marvel
Thomas Logan,Earth-616,Bad,Male,Brown,Black,12,1901,Marvel
Charles Moss,Earth-616,Good,Male,Blue,Brown,12,1902,Marvel
Matt,"Sentinel,Earth-616",Neutral,Male,Blue,Black,12,1903,Marvel
Mike Columbus,Earth-616,Neutral,Male,One Eye,Bald,12,1903,Marvel
Winston Frost,Earth-616,Bad,Male,Blue,Brown,12,1903,Marvel
Invader-1,Earth-616,Good,Female,Brown,Brown,12,1904,Marvel
Sasha Martin,Earth-616,Neutral,Female,Blue,Black,12,1904,Marvel
Achelous,Earth-616,Bad,Male,Brown,Brown,12,1905,Marvel
Gazer,Earth-616,Neutral,Male,Green,Green,12,1905,Marvel
Lotus,"Pride,Earth-616",Bad,Female,Black,Black,12,1905,Marvel
Nina Price,Earth-616,Good,Female,Blue,Blond,12,1905,Marvel
Tippy-Toe,Earth-616,Good,Female,Black,Grey,12,1905,Marvel
Johnny Dee,Earth-616,Bad,Male,Blue,Brown,12,1906,Marvel
Alana Jobson,"Sara Ehret,Earth-616",Good,Female,Green,Black,12,1907,Marvel
John Ladue,Earth-616,Bad,Male,Brown,Black,12,1907,Marvel
Thomas Foster,Earth-616,Neutral,Male,Brown,Black,12,1907,Marvel
Zak-Del,Earth-616,Good,Male,Red,White,12,1907,Marvel
Alana Jobson,Earth-616,Good,Female,Green,Brown,12,1908,Marvel
Claudine Renko,Earth-616,Bad,Female,Red,Black,12,1908,Marvel
Hellverine,Earth-616,Bad,Male,White,Black,12,1910,Marvel
Nikola Tesla,Earth-616,Neutral,Male,Brown,Black,12,1910,Marvel
Tanis Nieves,Earth-616,Good,Female,Brown,Brown,12,1910,Marvel
Codename: Bravo,"Richard,Earth-616",Bad,Male,Blue,White,12,1911,Marvel
Andrew Maguire,Earth-616,Good,Male,Blue,Blond,12,1912,Marvel
Hector Baez,Earth-616,Good,Male,Brown,Brown,12,1912,Marvel
Parvez,Earth-616,Neutral,Male,Brown,Black,12,1912,Marvel
Annabelle Riggs,Earth-616,Good,Female,Blue,Brown,12,1913,Marvel
Melinda Leucenstern,Earth-616,Neutral,Female,Brown,Black,12,1913,Marvel
Mudbug,Earth-616,Bad,Male,Black,No,12,1913,Marvel
Leslie Lenrow,Earth-616,Good,Male,Blue,Black,11,1940,Marvel
Luther Robinson,Earth-616,Good,Male,Brown,Brown,11,1940,Marvel
Lynne Harris,Earth-616,Good,Female,Blue,Blond,11,1940,Marvel
Simon Meke,Earth-616,Bad,Male,Blue,Black,11,1946,Marvel
Billy Buckskin,Earth-616,Good,Male,Blue,Black,11,1955,Marvel
H. Warren Craddock,"Skrull,Earth-616",Bad,Male,Green,No,11,1962,Marvel
Zemu,Earth-616,Bad,Male,Black,No,11,1962,Marvel
Arnold Brown,Earth-616,Bad,Male,Brown,Brown,11,1965,Marvel
Mogul of the Mystic Mountain,Earth-616,Bad,Male,Hazel,Black,11,1967,Marvel
Missing Link,"Lincoln,Earth-616",Bad,Male,Yellow,No,11,1968,Marvel
Myron MacLain,Earth-616,Neutral,Male,Blue,Grey,11,1969,Marvel
